wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/362 [00:00<?, ?it/s]`generation_config` default values have been modified to match model-specific defaults: {'top_k': 20}. If this is not desired, please set these values explicitly.
  6%|▌         | 21/362 [1:26:30<24:15:45, 256.14s/it]
{'loss': 0.0165, 'grad_norm': 1.4447556734085083, 'learning_rate': 1e-06, 'rollout/outcome_reward_mean': -0.25, 'rollout/accuracy_mean': 0.21875, 'rollout/format_reward_mean': -0.6875, 'rollout/prm_score_mean': -1.6646544674792922, 'rollout/advantage_mean': 0.0028781250397371563, 'rollout/avg_steps': 5.1875, 'loss/policy_loss': 0.021795511981275457, 'logps/kl': 1.3520961663378254e-07, 'logps/clip_ratio': 0.0, 'epoch': 0.0}
{'loss': 0.0288, 'grad_norm': 1.8447864055633545, 'learning_rate': 9.972375690607733e-07, 'rollout/outcome_reward_mean': -1.0, 'rollout/accuracy_mean': 0.0, 'rollout/format_reward_mean': -1.0, 'rollout/prm_score_mean': -3.61981201171875, 'rollout/advantage_mean': 8.673617379884035e-18, 'rollout/avg_steps': 8.0, 'loss/policy_loss': 0.020294950793341454, 'logps/kl': -0.00027249904246528226, 'logps/clip_ratio': 0.5190615772193297, 'epoch': 0.01}
{'loss': 0.0374, 'grad_norm': 2.0827298164367676, 'learning_rate': 9.944751381215469e-07, 'rollout/outcome_reward_mean': 0.5, 'rollout/accuracy_mean': 0.46875, 'rollout/format_reward_mean': -0.4375, 'rollout/prm_score_mean': -2.525073902027027, 'rollout/advantage_mean': -0.029535676579444173, 'rollout/avg_steps': 5.78125, 'loss/policy_loss': 0.07481130015898138, 'logps/kl': -0.00010385921593991972, 'logps/clip_ratio': 0.5285201078527089, 'epoch': 0.01}
{'loss': 0.0382, 'grad_norm': 1.9806638956069946, 'learning_rate': 9.917127071823205e-07, 'rollout/outcome_reward_mean': -0.4375, 'rollout/accuracy_mean': 0.1875, 'rollout/format_reward_mean': -0.8125, 'rollout/prm_score_mean': -3.2129583820897576, 'rollout/advantage_mean': -0.0066079251364223246, 'rollout/avg_steps': 7.09375, 'loss/policy_loss': 0.050880153977243936, 'logps/kl': -0.0007658084978942735, 'logps/clip_ratio': 0.530283818736227, 'epoch': 0.01}
{'loss': 0.0312, 'grad_norm': 2.7297112941741943, 'learning_rate': 9.889502762430938e-07, 'rollout/outcome_reward_mean': -0.5, 'rollout/accuracy_mean': 0.0, 'rollout/format_reward_mean': -0.5, 'rollout/prm_score_mean': -2.941973085756655, 'rollout/advantage_mean': 0.02190764819460933, 'rollout/avg_steps': 6.75, 'loss/policy_loss': 0.04302379455282219, 'logps/kl': -8.600449939081764e-05, 'logps/clip_ratio': 0.521477152891162, 'epoch': 0.01}
{'loss': 0.03, 'grad_norm': 2.0828940868377686, 'learning_rate': 9.861878453038674e-07, 'rollout/outcome_reward_mean': -0.3125, 'rollout/accuracy_mean': 0.34375, 'rollout/format_reward_mean': -1.0, 'rollout/prm_score_mean': -1.9064260629507213, 'rollout/advantage_mean': 0.00854700780488843, 'rollout/avg_steps': 7.3125, 'loss/policy_loss': 0.026601907795637154, 'logps/kl': -0.0003649784712225897, 'logps/clip_ratio': 0.5125597973901771, 'epoch': 0.02}
{'loss': 0.0403, 'grad_norm': 2.3668766021728516, 'learning_rate': 9.83425414364641e-07, 'rollout/outcome_reward_mean': 0.3125, 'rollout/accuracy_mean': 0.53125, 'rollout/format_reward_mean': -0.75, 'rollout/prm_score_mean': -1.504859813745471, 'rollout/advantage_mean': 0.009769244084036281, 'rollout/avg_steps': 6.46875, 'loss/policy_loss': 0.018869350068071455, 'logps/kl': -0.00045691366938727763, 'logps/clip_ratio': 0.4929469783826969, 'epoch': 0.02}
{'loss': 0.018, 'grad_norm': 1.6608672142028809, 'learning_rate': 9.806629834254143e-07, 'rollout/outcome_reward_mean': -0.3125, 'rollout/accuracy_mean': 0.34375, 'rollout/format_reward_mean': -1.0, 'rollout/prm_score_mean': -2.0424122698430165, 'rollout/advantage_mean': 0.007042262006682218, 'rollout/avg_steps': 6.65625, 'loss/policy_loss': 0.05241461782339958, 'logps/kl': -0.00017417009990215748, 'logps/clip_ratio': 0.5290304805700925, 'epoch': 0.02}
{'loss': 0.0194, 'grad_norm': 2.0819411277770996, 'learning_rate': 9.779005524861877e-07, 'rollout/outcome_reward_mean': 0.125, 'rollout/accuracy_mean': 0.34375, 'rollout/format_reward_mean': -0.5625, 'rollout/prm_score_mean': -1.096936230990976, 'rollout/advantage_mean': 0.02139038113367757, 'rollout/avg_steps': 5.84375, 'loss/policy_loss': 0.022027086656479105, 'logps/kl': 0.0001708374445825798, 'logps/clip_ratio': 0.5579796163749027, 'epoch': 0.02}
{'loss': 0.0388, 'grad_norm': 2.0061118602752686, 'learning_rate': 9.751381215469613e-07, 'rollout/outcome_reward_mean': 0.125, 'rollout/accuracy_mean': 0.5, 'rollout/format_reward_mean': -0.875, 'rollout/prm_score_mean': -2.3126833975029903, 'rollout/advantage_mean': -0.02264137722649379, 'rollout/avg_steps': 6.53125, 'loss/policy_loss': 0.08336102369927446, 'logps/kl': -0.0007066220849289331, 'logps/clip_ratio': 0.5748740620893329, 'epoch': 0.03}
{'loss': 0.033, 'grad_norm': 2.27396297454834, 'learning_rate': 9.723756906077348e-07, 'rollout/outcome_reward_mean': 0.6875, 'rollout/accuracy_mean': 0.6875, 'rollout/format_reward_mean': -0.6875, 'rollout/prm_score_mean': -1.5553792317708333, 'rollout/advantage_mean': 0.019669459411539348, 'rollout/avg_steps': 5.8125, 'loss/policy_loss': 0.04387917714712898, 'logps/kl': -0.0011935058542876333, 'logps/clip_ratio': 0.5122032676187458, 'epoch': 0.03}
